Day,Gross PNL,Fees,Net PNL,Trades Taken,Volume,,,,
04-11-2024,36.03000903,25.6,10.43000903,64,128000,,,,
05-11-2024,38.97285721,33.2,5.772857207,83,166000,,,,
06-11-2024,88.65293141,37.2,51.45293141,93,186000,,,,
07-11-2024,26.25719274,36.4,-10.14280726,91,182000,,,,
08-11-2024,21.90067546,36.8,-14.89932454,92,184000,,,,
09-11-2024,6.275183063,35.6,-29.32481694,89,178000,,,,
10-11-2024,50.73082092,28,22.73082092,70,140000,,,,3.58
11-11-2024,101.3512606,35.6,65.75126059,89,178000,,,,1.2
12-11-2024,124.5350731,34.4,90.13507308,86,172000,,,,-1
13-11-2024,93.95919262,30.4,63.55919262,76,152000,,,,-2
14-11-2024,68.84650421,34.4,34.44650421,86,172000,,,,-1.6
15-11-2024,75.04670592,41.6,33.44670592,104,208000,,,,-0.12
16-11-2024,6.68192141,37.6,-30.91807859,94,188000,,,,0.9
17-11-2024,25.21299867,32.8,-7.587001329,82,164000,,,,-0.76
18-11-2024,78.07885036,32.4,45.67885036,81,162000,,,,2.89
19-11-2024,53.07105827,41.6,11.47105827,104,208000,,,,-1.3
20-11-2024,35.53331277,37.6,-2.066687234,94,188000,,,,0
21-11-2024,58.56050608,30.4,28.16050608,76,152000,,,,-0.2
22-11-2024,6.126418012,33.6,-27.47358199,84,168000,,,,-1.4
23-11-2024,20.71646032,29.6,-8.883539683,74,148000,,,,0.82
24-11-2024,50.42550258,33.6,16.82550258,84,168000,,,,1.5
25-11-2024,57.73900276,30,27.73900276,75,150000,,,,-1.35
26-11-2024,66.30853229,32.8,33.50853229,82,164000,,,,3.56
27-11-2024,51.2502657,29.2,22.0502657,73,146000,,,,0
28-11-2024,43.51659535,33.2,10.31659535,83,166000,,,,-1.17
29-11-2024,53.45636207,34.4,19.05636207,86,172000,,,,0.76
30-11-2024,27.67918114,28.4,-0.720818861,71,142000,,,,-2.2
01-12-2024,25.66573321,34.8,-9.134266788,87,174000,,,,0.58
,,,451.3811072,," ? 47,06,000.00 ",,,,1.2
,,,,,,,,,-1.5
,,,,,,,,,5.89
,,,,,,,,,-1.1
,,,,,,,,,19.54
,,,,,,,,,3.4
,,,,,,,,,-2.64
,,,,,,,,,-1.5
,,,,,,,,,-0.33
,,,,,,,,,2.64
,,,,,,,,,-3.64
,,,,,,,,,1.32
,,,,,,,,,0.95
,,,,,,,,,1
,,,,,,,,,-3.8
,,,,,,,,,4.5
,,,,,,,,,-10
,,,,,,,,,1.38
,,,,,,,,,4.26
,,,,,,,,,5.86
,,,,,,,,,5.64
,,,,,,,,,-2
